Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1715525676,14000,,Aggregated,474.100000,0.000000,1800,2300,2500,2700,3100,7600,13000,16000,24000,26000,26000,15399,0,1800.0,2285.083356376652,1.162126998679014,26304.261571998723,29.0
1715525677,14500,,Aggregated,504.200000,0.000000,1900,2300,2600,2800,3200,8200,15000,16000,26000,28000,28000,15789,0,1900.0,2384.706069655458,1.162126998679014,27698.707739000383,29.0
1715525678,15000,,Aggregated,504.200000,0.000000,1900,2400,2600,2800,3200,8100,15000,16000,26000,28000,28000,16051,0,1900.0,2397.712702533922,1.162126998679014,27698.707739000383,29.0
1715525679,15500,,Aggregated,490.300000,0.000000,2000,2400,2800,2900,3500,8200,15000,17000,28000,30000,30000,16803,0,2000.0,2509.778893068741,1.162126998679014,29904.33961799863,29.0
1715525680,16000,,Aggregated,485.500000,0.000000,2000,2500,2800,3100,3500,8200,15000,17000,28000,30000,30000,17247,0,2000.0,2558.208941814113,1.162126998679014,29904.33961799863,29.0
1715525682,16500,,Aggregated,470.000000,0.000000,2100,2700,2900,3100,3700,8400,16000,18000,30000,31000,31000,18467,0,2100.0,2686.208980899824,1.162126998679014,31474.69368200109,29.0
1715525683,17000,,Aggregated,468.000000,0.000000,2100,2700,2900,3200,3800,9500,16000,18000,31000,34000,34000,18711,0,2100.0,2780.6237692768964,1.162126998679014,33971.530101998724,29.0
1715525684,17500,,Aggregated,536.100000,0.000000,2100,2700,3100,3300,3800,8500,16000,18000,31000,34000,34000,19297,0,2100.0,2806.170949020574,1.162126998679014,33971.530101998724,29.0
1715525685,18000,,Aggregated,472.600000,0.000000,2200,2700,3100,3400,3800,9700,17000,20000,34000,36000,36000,19574,0,2200.0,2906.2795804943335,1.162126998679014,35970.00495099928,29.0
1715525686,18500,,Aggregated,472.600000,0.000000,2200,2700,3100,3400,3800,9700,17000,20000,34000,36000,36000,19574,0,2200.0,2906.2795804943335,1.162126998679014,35970.00495099928,29.0
1715525688,18500,,Aggregated,493.600000,0.000000,2400,3000,3500,3700,4300,9800,18000,20000,36000,38000,38000,21299,0,2400.0,3101.9683462654093,1.162126998679014,37805.417753001166,29.0
1715525689,19000,,Aggregated,436.200000,0.000000,2400,3100,3500,3700,4300,12000,20000,21000,36000,38000,38000,21940,0,2400.0,3200.533290154377,1.162126998679014,37805.417753001166,29.0
1715525690,19500,,Aggregated,524.800000,0.000000,2500,3100,3500,3700,4300,12000,20000,21000,36000,40000,40000,22557,0,2500.0,3239.099907486586,1.162126998679014,40181.35496399918,29.0
1715525691,20000,,Aggregated,524.800000,0.000000,2500,3100,3500,3700,4300,12000,20000,21000,36000,40000,40000,22561,0,2500.0,3238.989555810244,1.162126998679014,40181.35496399918,29.0
1715525692,20500,,Aggregated,573.700000,0.000000,2500,3200,3600,3800,4300,12000,20000,21000,38000,43000,43000,23382,0,2500.0,3333.2484409150584,1.162126998679014,42873.88226400071,29.0
1715525693,21000,,Aggregated,524.200000,0.000000,2500,3200,3700,3900,4300,13000,21000,22000,38000,43000,43000,23698,0,2500.0,3377.5037261208927,1.162126998679014,43334.93277599882,29.0
1715525694,21500,,Aggregated,410.100000,0.000000,2700,3400,3800,4100,4800,13000,21000,22000,40000,45000,45000,25600,0,2700.0,3520.307815879056,1.162126998679014,44828.94714199938,29.0
1715525696,22000,,Aggregated,491.500000,0.000000,2700,3300,3800,4100,4900,13000,21000,23000,40000,45000,45000,25781,0,2700.0,3535.954578922304,1.162126998679014,44828.94714199938,29.0
1715525697,22500,,Aggregated,626.600000,0.000000,2700,3400,3800,4100,4900,13000,21000,23000,43000,48000,48000,25962,0,2700.0,3567.758960808868,1.162126998679014,47882.17297300071,29.0
1715525698,23000,,Aggregated,620.700000,0.000000,2700,3400,3900,4200,4900,13000,21000,23000,43000,48000,48000,26301,0,2700.0,3619.406837862853,1.162126998679014,47882.17297300071,29.0
1715525700,23500,,Aggregated,620.700000,0.000000,2700,3400,4000,4200,5000,13000,21000,23000,43000,48000,48000,26397,0,2700.0,3637.4520831210716,1.162126998679014,47882.17297300071,29.0
1715525702,24000,,Aggregated,466.300000,0.000000,2900,3700,4000,4200,5200,13000,21000,23000,45000,50000,50000,28519,0,2900.0,3740.145989723757,1.162126998679014,50457.34317699862,29.0
1715525703,24500,,Aggregated,595.800000,0.000000,2900,3700,4100,4200,5600,13000,21000,24000,45000,50000,50000,28943,0,2900.0,3786.8981003060067,1.162126998679014,50457.34317699862,29.0
1715525704,25000,,Aggregated,595.800000,0.000000,3000,3700,4100,4300,5800,13000,22000,25000,48000,54000,54000,29544,0,3000.0,3894.9349451758653,1.162126998679014,53857.99253500045,29.0
1715525705,25500,,Aggregated,513.700000,0.000000,3000,3700,4200,4300,5800,14000,22000,26000,48000,54000,54000,29608,0,3000.0,3918.536452087165,1.162126998679014,53857.99253500045,29.0
1715525706,26000,,Aggregated,581.300000,0.000000,3000,3800,4200,4300,5900,15000,23000,28000,50000,56000,56000,30219,0,3000.0,4023.2795595717507,1.162126998679014,56349.75784100061,29.0
1715525708,26500,,Aggregated,394.400000,0.000000,3100,3800,4100,4300,5900,14000,23000,28000,50000,56000,56000,31641,0,3100.0,4027.5986606839433,1.162126998679014,56349.75784100061,29.0
1715525709,27000,,Aggregated,576.900000,0.000000,3200,3900,4200,4300,5900,14000,23000,29000,50000,56000,56000,32151,0,3200.0,4097.113449423923,1.162126998679014,56349.75784100061,29.0
1715525710,27500,,Aggregated,567.900000,0.000000,3200,4000,4200,4400,5900,15000,23000,29000,54000,60000,60000,32723,0,3200.0,4166.03953114381,1.162126998679014,60068.626865000624,29.0
1715525711,28000,,Aggregated,534.000000,0.000000,3300,4000,4200,4400,6000,14000,23000,29000,50000,60000,60000,33050,0,3300.0,4188.481799823662,1.162126998679014,60068.626865000624,29.0
1715525712,28500,,Aggregated,589.400000,0.000000,3300,4000,4200,4500,6200,15000,25000,29000,54000,62000,63000,33949,0,3300.0,4294.2279610825735,1.162126998679014,62555.968519998714,29.0
1715525715,29000,,Aggregated,420.400000,0.000000,3500,4000,4200,4400,6100,14000,24000,29000,54000,62000,63000,35129,0,3500.0,4285.2018579528685,1.162126998679014,62555.968519998714,29.0
1715525716,29500,,Aggregated,558.500000,0.000000,3500,4000,4200,4500,6300,15000,25000,30000,56000,66000,66000,35473,0,3500.0,4345.3265721953685,1.162126998679014,66401.64930900028,29.0
1715525717,30000,,Aggregated,558.500000,0.000000,3600,4000,4300,5000,6300,14000,25000,30000,56000,66000,67000,36310,0,3600.0,4379.220288327991,1.162126998679014,66505.61235799978,29.0
1715525718,30500,,Aggregated,558.500000,0.000000,3600,4000,4300,5000,6300,14000,25000,30000,56000,66000,67000,36310,0,3600.0,4379.220288327991,1.162126998679014,66505.61235799978,29.0
1715525719,31000,,Aggregated,476.000000,0.000000,3700,4100,4300,5200,6400,15000,26000,31000,60000,69000,69000,37234,0,3700.0,4494.665030244166,1.162126998679014,69241.01981100102,29.0
1715525720,31500,,Aggregated,466.900000,0.000000,3700,4100,4300,5100,6400,13000,25000,31000,60000,69000,69000,38631,0,3700.0,4491.946218957837,1.162126998679014,69241.01981100102,29.0
1715525722,32000,,Aggregated,600.900000,0.000000,3700,4100,4400,5100,6400,13000,25000,31000,60000,69000,69000,38940,0,3700.0,4496.736176272011,1.162126998679014,69241.01981100102,29.0
1715525723,32500,,Aggregated,618.000000,0.000000,3700,4200,4600,5300,6400,13000,26000,32000,56000,69000,69000,39994,0,3700.0,4578.063295856927,1.162126998679014,69241.01981100102,29.0
1715525725,33000,,Aggregated,585.300000,0.000000,3800,4200,4700,5400,6400,13000,26000,32000,56000,69000,69000,40288,0,3800.0,4587.176043339057,1.162126998679014,69241.01981100102,29.0
1715525726,33500,,Aggregated,585.300000,0.000000,3800,4200,4700,5400,6400,13000,26000,32000,56000,69000,69000,40288,0,3800.0,4587.176043339057,1.162126998679014,69241.01981100102,29.0
1715525727,34000,,Aggregated,515.900000,0.000000,3800,4200,4900,5600,6500,13000,26000,32000,60000,77000,77000,40907,0,3800.0,4663.462604641771,1.162126998679014,76617.87912200089,29.0
1715525728,34500,,Aggregated,515.900000,0.000000,3800,4300,4900,5500,6500,13000,26000,32000,60000,77000,77000,42362,0,3800.0,4674.132006988389,1.162126998679014,76617.87912200089,29.0
1715525730,35000,,Aggregated,515.900000,0.000000,3800,4300,5000,5500,6500,13000,26000,33000,62000,79000,79000,42823,0,3800.0,4730.903610157625,1.162126998679014,78797.22573000072,29.0
1715525732,35500,,Aggregated,452.300000,0.000000,3900,4300,5200,5700,6600,12000,26000,33000,62000,79000,79000,43894,0,3900.0,4797.9859842787155,1.162126998679014,78797.22573000072,29.0
1715525733,36000,,Aggregated,452.300000,0.000000,4000,4400,5300,5800,6700,13000,28000,34000,67000,83000,83000,44455,0,4000.0,4880.549877732267,1.162126998679014,82638.05885700094,29.0
1715525734,36500,,Aggregated,452.300000,0.000000,4000,4400,5300,5800,6700,13000,28000,34000,67000,83000,83000,44455,0,4000.0,4880.549877732267,1.162126998679014,82638.05885700094,29.0
1715525735,37000,,Aggregated,551.500000,0.000000,4000,4400,5300,5800,6700,13000,29000,35000,67000,83000,83000,44574,0,4000.0,4932.699749118834,1.162126998679014,82638.05885700094,29.0
1715525736,37500,,Aggregated,446.100000,0.000000,4000,4700,5400,5900,6800,13000,29000,36000,66000,83000,83000,46178,0,4000.0,4992.17923046125,1.162126998679014,82638.05885700094,29.0
1715525737,38000,,Aggregated,422.700000,0.000000,4000,4800,5400,5900,6800,13000,29000,36000,66000,83000,83000,46823,0,4000.0,5000.539012885586,1.162126998679014,82638.05885700094,29.0
1715525739,38500,,Aggregated,598.600000,0.000000,4000,4800,5500,5900,6800,13000,29000,38000,66000,83000,83000,47164,0,4000.0,5064.174766912834,1.162126998679014,82638.05885700094,29.0
1715525740,39000,,Aggregated,477.400000,0.000000,4000,4800,5600,6000,6900,13000,29000,38000,69000,91000,91000,47664,0,4000.0,5117.804964832132,1.162126998679014,90774.59158500096,29.0
1715525741,39500,,Aggregated,431.300000,0.000000,4000,4900,5700,6200,7100,13000,29000,38000,69000,91000,91000,48816,0,4000.0,5171.474407720132,1.162126998679014,90774.59158500096,29.0
1715525743,40000,,Aggregated,434.100000,0.000000,4000,4900,5800,6200,7100,13000,29000,39000,69000,91000,91000,48859,0,4000.0,5205.229029878792,1.162126998679014,90774.59158500096,29.0
1715525744,40500,,Aggregated,484.100000,0.000000,4000,4900,5800,6200,7200,14000,30000,40000,69000,91000,91000,48917,0,4000.0,5252.403169933598,1.162126998679014,90774.59158500096,29.0
1715525745,41000,,Aggregated,440.400000,0.000000,4100,5100,5900,6400,7500,14000,31000,41000,77000,94000,94000,50556,0,4100.0,5398.081921658404,1.162126998679014,94282.08908099987,29.0
1715525746,41500,,Aggregated,446.200000,0.000000,4100,5200,5900,6400,7500,13000,31000,41000,77000,94000,94000,50934,0,4100.0,5399.909694858776,1.162126998679014,94282.08908099987,29.0
1715525749,42000,,Aggregated,596.500000,0.000000,4100,5200,6000,6500,7400,14000,31000,41000,77000,94000,94000,51562,0,4100.0,5443.282503152466,1.162126998679014,94282.08908099987,29.0
1715525750,42500,,Aggregated,442.600000,0.000000,4200,5400,6200,6600,7700,13000,32000,42000,77000,100000,100000,53129,0,4200.0,5574.43555541227,1.162126998679014,100189.96414699905,29.0
1715525751,43000,,Aggregated,442.600000,0.000000,4200,5500,6300,6600,7700,13000,31000,42000,77000,100000,100000,53408,0,4200.0,5587.153915725554,1.162126998679014,100189.96414699905,29.0
1715525752,43500,,Aggregated,439.800000,0.000000,4200,5500,6300,6700,7800,14000,32000,43000,77000,100000,100000,53530,0,4200.0,5635.283479806534,1.162126998679014,100189.96414699905,29.0
1715525753,44000,,Aggregated,562.700000,0.000000,4200,5500,6300,6700,7800,15000,33000,44000,79000,104000,104000,53613,0,4200.0,5691.697452382103,1.162126998679014,103698.9194279995,29.0
1715525754,44500,,Aggregated,459.900000,0.000000,4200,5700,6500,6900,7900,13000,32000,44000,79000,104000,104000,55013,0,4200.0,5755.475181401399,1.162126998679014,103698.9194279995,29.0
