Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/model:predict,182077,0,9800.0,12522.86988980579,1.162126998679014,303943.55584500043,29.0,585.5898081613988,0.0,9800,13000,14000,15000,16000,23000,72000,75000,189000,292000,304000
,Aggregated,182077,0,9800.0,12522.86988980579,1.162126998679014,303943.55584500043,29.0,585.5898081613988,0.0,9800,13000,14000,15000,16000,23000,72000,75000,189000,292000,304000
