Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/convert,193667,0,10000.0,12170.32502569225,24.123795001287363,303929.23899499874,49.0,620.3369856892092,0.0,10000,12000,14000,14000,16000,19000,71000,73000,203000,293000,304000
,Aggregated,193667,0,10000.0,12170.32502569225,24.123795001287363,303929.23899499874,49.0,620.3369856892092,0.0,10000,12000,14000,14000,16000,19000,71000,73000,203000,293000,304000
